grp3_CysA	-inf	-inf	inf
grp3_CysC	218.3	-inf	10.6
grp3_CysD	295.7	-inf	57.3
grp3_CysE	118.2	318.2	49.4
grp3_CysH	120.2	340.1	39.6
grp3_CysI	315.7	-inf	209.1
grp3_CysJ	140.3	886.8	140.3
grp3_CysK	389.6	-inf	46.5
grp3_CysM	348.7	435.7	57.9
grp3_CysN	410.5	1117.2	61.7
grp3_CysU	207.2	-inf	37.8
grp3_CysW	63.4	-inf	39.0
grp3_MalY	102.9	-inf	102.9
grp3_MetA	382.3	525.6	88.9
grp3_MetB	473.0	-inf	20.0
grp3_MetC	319.7	-inf	27.6
grp3_MetE	1056.0	1277.6	459.4
grp3_MetH	1177.2	1971.7	441.6
grp3_MetK	563.3	-inf	127.4
grp3_MetQ	224.1	-inf	12.6
grp3_OAHS	630.8	769.1	24.9
grp3_assSat	455.0	-inf	78.6
grp3_bCBS	152.8	-inf	69.6
grp3_bCSE	461.4	981.6	19.3
