grp1_HpfY	519.4	566.3	224.2
grp1_HpsO	327.4	364.0	168.5
grp1_IseR	295.1	356.1	179.5
grp1_SauT	548.5	633.6	242.2
grp1_SlcC	380.7	380.7	182.4
grp1_SlcF	574.8	602.7	313.6
grp1_SlcH	218.6	337.1	194.3
grp1_SsuB	255.8	285.0	158.2
grp1_SuyB	556.1	618.5	240.0
grp1_TauB	326.6	348.2	164.1
grp1_TauC	287.8	342.7	165.4
grp1_TauY	479.4	497.7	306.7
grp1_TauZ	443.1	479.5	202.0
grp2_AlaDH	586.0	527.1	294.4
grp2_ComC	392.1	427.1	241.3
grp2_DhpA	272.9	347.4	240.4
grp2_HpfD	386.8	483.1	201.0
grp2_HpfG	1307.3	1360.9	369.3
grp2_HpsG	1124.9	1426.0	375.9
grp2_HpsM	476.2	602.3	239.9
grp2_HpsN	641.5	760.3	281.9
grp2_HpsP	372.4	404.9	188.5
grp2_HpsU	582.5	650.9	184.3
grp2_IseJ	806.0	871.7	291.7
grp2_IseM	504.1	590.5	266.7
grp2_IsfD	375.0	376.1	182.3
grp2_Pta	465.6	459.8	228.0
grp2_SarD	503.8	522.5	249.2
grp2_SauS	712.9	804.2	275.6
grp2_SauT	559.8	652.7	236.9
grp2_SauU	530.5	586.9	197.1
grp2_SlcD	518.7	583.5	249.7
grp2_SlcF	599.6	614.7	306.8
grp2_TauA	317.0	388.4	187.8
grp2_TauB	346.6	358.2	159.9
grp2_TauC	275.7	347.3	160.4
grp2_TauK	347.2	395.3	174.4
grp2_TauM	521.2	526.9	261.4
grp2_TauR	512.2	704.2	219.4
grp2_TauY	489.3	543.9	304.8
grp2_TauZ	448.2	481.0	200.2
grp2_Xsc	789.7	910.6	283.5
grp3_AdhE	683.4	727.6	535.0
grp3_BmcsA	131.4	148.2	131.4
grp3_BmcsB	161.4	155.0	128.7
grp3_BmcsC	203.6	203.6	203.6
grp3_ComD	282.1	327.1	192.1
grp3_ComE	259.5	335.0	172.0
grp3_CuyA	419.0	531.2	174.8
grp3_CuyZ	318.4	411.2	219.4
grp3_DhpA	263.0	347.4	198.1
grp3_HpfE	271.5	321.2	229.7
grp3_HpfG	1059.9	1281.6	341.4
grp3_HpfH	297.0	403.6	199.4
grp3_HpfX	500.3	617.8	238.3
grp3_HpfZ	360.3	391.7	232.9
grp3_HpsG	772.0	1168.0	341.8
grp3_HpsH	339.6	453.3	223.1
grp3_HpsK	525.3	700.1	210.0
grp3_HpsL	211.6	281.4	184.1
grp3_HpsM	302.1	436.9	218.8
grp3_IseK	557.8	764.3	322.4
grp3_IseL	234.5	303.1	217.4
grp3_IsfE	234.4	282.8	197.1
grp3_SarD	388.9	515.3	215.9
grp3_SlcG	172.5	236.5	172.5
grp3_SsuA	202.0	452.6	144.7
grp3_SsuC	214.7	348.6	154.4
grp3_SsuD	314.9	535.2	196.9
grp3_SuyA	112.4	158.5	112.4
grp3_TauA	267.5	411.8	180.6
grp3_TauE	290.0	330.7	212.0
grp3_TauL	165.1	272.2	165.1
grp3_TauX	159.1	196.2	141.4

